GPU available:  True
GPU available:  True
cuda
sim_read_traces_train_20k
sim_read_traces_val
sliced_traces
sliced_traces_whole
(20000, 5000)
(100, 5000)
(20402, 5000)
Creating datasets...
20086
Start training...
Epoch [1/50], Train Loss: 0.358858, Validation Loss: 0.293229, lr = 0.001, duration = 6.4559
Epoch [2/50], Train Loss: 0.259074, Validation Loss: 0.228690, lr = 0.001, duration = 5.6116
Epoch [3/50], Train Loss: 0.239252, Validation Loss: 0.208494, lr = 0.001, duration = 5.5826
Epoch [4/50], Train Loss: 0.224053, Validation Loss: 0.209045, lr = 0.001, duration = 5.5155
Epoch [5/50], Train Loss: 0.210508, Validation Loss: 0.229721, lr = 0.001, duration = 5.5231
Epoch [6/50], Train Loss: 0.203641, Validation Loss: 0.184580, lr = 0.001, duration = 5.5584
Epoch [7/50], Train Loss: 0.192701, Validation Loss: 0.194264, lr = 0.001, duration = 5.5065
Epoch [8/50], Train Loss: 0.188601, Validation Loss: 0.215715, lr = 0.001, duration = 5.5844
Epoch [9/50], Train Loss: 0.188335, Validation Loss: 0.215278, lr = 0.001, duration = 5.4892
Epoch [10/50], Train Loss: 0.179542, Validation Loss: 0.198461, lr = 0.001, duration = 5.4564
Epoch [11/50], Train Loss: 0.180269, Validation Loss: 0.198479, lr = 0.001, duration = 5.5388
Epoch [12/50], Train Loss: 0.175629, Validation Loss: 0.215008, lr = 0.001, duration = 5.5615
Epoch [13/50], Train Loss: 0.174904, Validation Loss: 0.198575, lr = 0.001, duration = 5.6306
Epoch [14/50], Train Loss: 0.170840, Validation Loss: 0.189791, lr = 0.001, duration = 5.5411
Epoch [15/50], Train Loss: 0.166735, Validation Loss: 0.226669, lr = 0.001, duration = 5.5386
Epoch [16/50], Train Loss: 0.165347, Validation Loss: 0.185663, lr = 0.001, duration = 5.5601
Epoch [17/50], Train Loss: 0.163952, Validation Loss: 0.197126, lr = 0.001, duration = 5.5745
Epoch [18/50], Train Loss: 0.156436, Validation Loss: 0.182756, lr = 0.001, duration = 5.5225
Epoch [19/50], Train Loss: 0.150704, Validation Loss: 0.156363, lr = 0.001, duration = 5.5298
Epoch [20/50], Train Loss: 0.139424, Validation Loss: 0.161558, lr = 0.001, duration = 5.5538
Epoch [21/50], Train Loss: 0.135910, Validation Loss: 0.184494, lr = 0.001, duration = 5.4708
Epoch [22/50], Train Loss: 0.131500, Validation Loss: 0.168468, lr = 0.001, duration = 5.5140
Epoch [23/50], Train Loss: 0.125768, Validation Loss: 0.195034, lr = 0.001, duration = 5.5345
Epoch [24/50], Train Loss: 0.126785, Validation Loss: 0.153166, lr = 0.001, duration = 5.5614
Epoch [25/50], Train Loss: 0.122835, Validation Loss: 0.213711, lr = 0.001, duration = 5.5438
Epoch [26/50], Train Loss: 0.122397, Validation Loss: 0.137464, lr = 0.001, duration = 5.5751
Epoch [27/50], Train Loss: 0.120632, Validation Loss: 0.121407, lr = 0.001, duration = 5.4911
Epoch [28/50], Train Loss: 0.118997, Validation Loss: 0.165976, lr = 0.001, duration = 5.5637
Epoch [29/50], Train Loss: 0.119423, Validation Loss: 0.132887, lr = 0.001, duration = 5.4703
Epoch [30/50], Train Loss: 0.118254, Validation Loss: 0.137627, lr = 0.001, duration = 5.5628
Epoch [31/50], Train Loss: 0.115820, Validation Loss: 0.152858, lr = 0.001, duration = 5.5067
Epoch [32/50], Train Loss: 0.115805, Validation Loss: 0.140491, lr = 0.001, duration = 5.5471
Epoch [33/50], Train Loss: 0.114089, Validation Loss: 0.107421, lr = 0.001, duration = 5.4169
Epoch [34/50], Train Loss: 0.111253, Validation Loss: 0.083096, lr = 0.001, duration = 5.5852
Epoch [35/50], Train Loss: 0.107276, Validation Loss: 0.114476, lr = 0.001, duration = 5.5712
Epoch [36/50], Train Loss: 0.104704, Validation Loss: 0.127615, lr = 0.001, duration = 5.5256
Epoch [37/50], Train Loss: 0.100267, Validation Loss: 0.100766, lr = 0.001, duration = 5.5736
Epoch [38/50], Train Loss: 0.095230, Validation Loss: 0.131132, lr = 0.001, duration = 5.5546
Epoch [39/50], Train Loss: 0.098445, Validation Loss: 0.118356, lr = 0.001, duration = 5.5584
Epoch [40/50], Train Loss: 0.092457, Validation Loss: 0.097233, lr = 0.001, duration = 5.6000
Epoch [41/50], Train Loss: 0.092537, Validation Loss: 0.077663, lr = 0.001, duration = 5.5121
Epoch [42/50], Train Loss: 0.092059, Validation Loss: 0.137586, lr = 0.001, duration = 5.5751
Epoch [43/50], Train Loss: 0.090489, Validation Loss: 0.098851, lr = 0.001, duration = 5.4804
Epoch [44/50], Train Loss: 0.090369, Validation Loss: 0.108360, lr = 0.001, duration = 5.5567
Epoch [45/50], Train Loss: 0.091361, Validation Loss: 0.116460, lr = 0.001, duration = 5.5502
Epoch [46/50], Train Loss: 0.089167, Validation Loss: 0.091038, lr = 0.001, duration = 5.5358
Epoch [47/50], Train Loss: 0.085972, Validation Loss: 0.118399, lr = 0.001, duration = 5.5195
Epoch [48/50], Train Loss: 0.088378, Validation Loss: 0.077251, lr = 0.001, duration = 5.5499
Epoch [49/50], Train Loss: 0.090228, Validation Loss: 0.088502, lr = 0.001, duration = 5.6109
Epoch [50/50], Train Loss: 0.087856, Validation Loss: 0.068689, lr = 0.001, duration = 5.4979

Finished Training in 279.3

Figures saved
